Date,Description,Category,Amount
2023-01-15 11:24:18,Transaction 1,Food,-$690.22
2023-01-23 14:17:48,Transaction 2,Fruits,-$256.72
2023-01-10 10:43:51,Transaction 3,Crocaries,-$201.22
2023-01-16 12:21:52,Transaction 4,Drinks,-$284.69
2023-01-31 14:53:09,Transaction 5,Oil,-$268.39
2023-01-19 09:27:53,Transaction 6,Soap,-$109.71
2023-01-16 15:35:58,Transaction 7,Youtube,"$2,500.00"
2023-01-11 19:46:39,Transaction 8,Facebook,-$154.59
2023-01-13 12:10:54,Transaction 9,Amazone,-$19.38
2023-01-15 15:05:50,Transaction 10,Microsoft,-$79.38
2023-01-15 11:24:18,Transaction 1,Food,-$690.22
2023-01-23 14:17:48,Transaction 2,Fruits,-$256.72
2023-01-10 10:43:51,Transaction 3,Crocaries,-$201.22
2023-01-16 12:21:52,Transaction 4,Drinks,-$284.69
2023-01-31 14:53:09,Transaction 5,Oil,-$268.39
2023-01-19 09:27:53,Transaction 6,Soap,-$109.71
2023-01-16 15:35:58,Transaction 7,Youtube,"$2,500.00"
2023-01-11 19:46:39,Transaction 8,Facebook,-$154.59
2023-01-13 12:10:54,Transaction 9,Amazone,-$19.38